google_place_id,name,address,city,rating,website,google_maps_url,types,imported_at
ChIJ17_mqZfHh0gR1liA5-0pmEw,Fogo de Chão Edinburgh - Original from Brazil,"102 George St, Edinburgh EH2 3DF",Edinburgh,4.8,https://fogodechao.uk/location/edinburgh/,https://maps.google.com/?cid=5519207445110479062&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,steak_house|bar_and_grill|brazilian_restaurant|bar|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.813594+00
ChIJyZFan5rHh0gRVPM73m7iswA,Makars Mash Bar,"9-12 Bank St, Edinburgh EH1 2LN",Edinburgh,4.8,https://makarsmash.com/,https://maps.google.com/?cid=50632986633958228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,british_restaurant|bar|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.813594+00
ChIJScCpuuXHh0gRO9wNM5uojk0,Tattu Edinburgh,"18 W Register St, Edinburgh EH2 2AA",Edinburgh,4.7,https://tattu.co.uk/locations/edinburgh/,https://maps.google.com/?cid=5588589572143307835&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,chinese_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.813594+00
ChIJB6nPVoXHh0gRhZhXWrq7qRI,The Devil's Advocate,"9 Advocate's Cl, Edinburgh EH1 1ND",Edinburgh,4.4,https://devilsadvocateedinburgh.co.uk/?utm_source=google&utm_medium=local&utm_campaign=devils-advocate,https://maps.google.com/?cid=1344812372800804997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,gastropub|bar_and_grill|bar|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.813594+00
ChIJQRw3B5HHh0gRGokny3GM2JY,The Dome,"14 George St, Edinburgh EH2 2PF",Edinburgh,4.6,https://www.thedomeedinburgh.com/,https://maps.google.com/?cid=10869592121026251034&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,brunch_restaurant|cocktail_bar|bar_and_grill|tea_house|bar|fine_dining_restaurant|cafe|event_venue|restaurant|food|point_of_interest|service|establishment,2026-09-08 16:46:41.813594+00
ChIJM3SvgoXHh0gRHGd2Dle5LyY,The Piper's Rest,"3 Hunter Square, Edinburgh EH1 1QW",Edinburgh,4.6,http://www.thepipersrest.co.uk/,https://maps.google.com/?cid=2751621680902596380&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pub|bar|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.813594+00
ChIJrZMMLArHh0gRxkv45uKHcak,Under The Table,"3A1, Dundas St, Edinburgh EH3 6QG",Edinburgh,4.9,https://www.underthetable.uk/,https://maps.google.com/?cid=12209689473385515974&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.813594+00
ChIJU9R7iuZHiEgR9AlQ1CKnvv8,Margo,"68 Miller St, Glasgow G1 1DT",Glasgow,4.8,https://margo.restaurant/,https://maps.google.com/?cid=18428350493279390196&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:42.34755+00
ChIJ_6__ktRFiEgRfkWoURvUEOM,Ox and Finch,"920 Sauchiehall St, Finnieston, Glasgow G3 7TF",Glasgow,4.7,http://www.oxandfinch.com/,https://maps.google.com/?cid=16361810660036199806&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,british_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:42.34755+00
ChIJvfwxC6NHiEgRD8_2uVyjGXQ,Sugo Pasta,"70 Mitchell St, Glasgow G1 3LX",Glasgow,4.6,https://www.sugopasta.co.uk/,https://maps.google.com/?cid=8365897401469685519&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,italian_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:42.34755+00
